Propertyid,Property Address,Type,Purpose,Area (in Sq. Yd.),Bedroom,Bathroom,Price
44323628,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Rent,172,3,3,60000
44328876,"DHA Phase 5, DHA Defence, Karachi, Sindh",Flat,For Rent,111,2,2,95000
44349624,"North Karachi - Sector 11-C/1, North Karachi, Karachi, Sindh",Flat,For Rent,100,2,2,24000
44350077,"Clifton - Block 1, Clifton, Karachi, Sindh",Flat,For Rent,83,2,2,35000
44428833,"De Comforts, Federal B Area - Block 8, Federal B Area, Karachi, Sindh",Flat,For Rent,83,2,2,30000
44440123,"Clifton - Block 2, Clifton, Karachi, Sindh",Flat,For Rent,178,3,3,80000
44533749,"Daniyal Residency, Scheme 33, Karachi, Sindh",Flat,For Rent,83,2,2,23000
44536623,"Clifton - Block 6, Clifton, Karachi, Sindh",Flat,For Rent,367,4,4,260000
44541547,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,56,-,2,50000
44559457,"Korangi Creek Cantonment, Korangi, Karachi, Sindh",Flat,For Rent,120,3,2,27000
44601948,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Flat,For Rent,139,3,3,60000
44614792,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,122,2,2,28000
44670093,"Rashid Minhas Road, Karachi, Sindh",Flat,For Rent,161,3,3,35000
44683933,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,122,2,2,28000
44687302,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,106,2,2,25000
44689410,"Defence View Society, Karachi, Sindh",Flat,For Rent,89,2,2,27000
44762259,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,For Rent,222,3,3,92000
44782641,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Rent,300,3,4,85000
44782822,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Rent,300,3,4,90000
44792079,"Scheme 33, Karachi, Sindh",Flat,For Rent,72,2,2,20000
44830912,"Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Rent,106,2,2,28000
44837219,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",Flat,For Rent,83,2,2,18000
44837345,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Rent,94,2,2,34000
44837371,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,56,-,2,45000
44837866,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,50,-,2,32000
44837874,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,50,-,2,27000
44837880,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,106,2,2,50000
44837979,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,50,-,2,28000
44838236,"Grey Noor Tower & Shopping Mall, Scheme 33, Karachi, Sindh",Flat,For Rent,189,3,4,50000
44839686,"Manzoor Colony, Karachi, Sindh",Flat,For Rent,85,3,2,25000
44840167,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Rent,244,4,4,75000
44840268,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Rent,333,4,5,114999
44840351,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,For Rent,333,4,5,114999
44840472,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,106,2,2,28000
44840525,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,283,3,3,48000
44840557,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Rent,400,4,4,70000
44840797,"North Nazimabad - Block H, North Nazimabad, Karachi, Sindh",Flat,For Rent,94,2,2,30000
44841249,"Kings Cottages, Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Rent,161,3,3,52000
23687145,"Clifton - Block 4, Clifton, Karachi, Sindh",House,For Rent,330,5,5,350000
29210681,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,For Rent,350,4,5,140000
40877287,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,For Rent,500,5,5,168000
42548024,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,For Rent,500,5,5,165000
42548029,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,For Rent,500,5,5,175000
43186145,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Rent,100,3,4,180000
43488643,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Rent,500,4,5,210000
43548839,"Saadi Town, Scheme 33, Karachi, Sindh",House,For Rent,400,3,4,70000
43603689,"DHA Phase 7, DHA Defence, Karachi, Sindh",House,For Rent,100,3,3,120000
43659414,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Rent,1000,5,6,600000
43912783,"DHA Phase 7, DHA Defence, Karachi, Sindh",House,For Rent,500,5,5,220000
43919541,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",House,For Rent,1000,10,5,1000000
43931793,"Saima Elite Villas, Malir, Karachi, Sindh",House,For Rent,120,3,3,50000
43974990,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",House,For Rent,100,4,4,100000
43999011,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Rent,500,5,6,600000
44247798,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Rent,200,3,3,40000
44464084,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Rent,350,4,4,35000
44464085,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Rent,152,3,3,30000
44464086,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,For Rent,125,3,3,30000
44576786,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",House,For Rent,250,5,5,250000
44650890,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Rent,200,3,3,38000
44651147,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Rent,200,3,3,35000
44687331,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,For Rent,200,3,3,36000
44687338,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Rent,150,3,3,50000
44701254,"Sindh Baloch Housing Society, Gulistan-e-Jauhar, Karachi, Sindh",House,For Rent,200,3,3,60000
44734683,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Rent,120,4,5,160000
44747020,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Rent,375,5,6,150000
44747626,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Rent,375,5,6,155000
44837249,"New Karachi - Sector 5-A/4, New Karachi - Sector 5-A, New Karachi, Karachi, Sindh",House,For Rent,80,4,3,34000
44837251,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",House,For Rent,120,2,2,24000
44837257,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",House,For Rent,120,2,2,26000
44838216,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,For Rent,125,3,3,38000
44838230,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",House,For Rent,235,3,3,28000
44838241,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,For Rent,235,3,3,27000
44838278,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Rent,350,4,4,35000
44839386,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",House,For Rent,120,4,4,45000
44839780,"Model Colony - Malir, Malir, Karachi, Sindh",House,For Rent,190,2,3,35000
44840227,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",House,For Rent,120,2,3,32000
44840420,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",House,For Rent,500,5,5,114999
44840781,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",House,For Rent,666,6,6,250000
44840854,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Rent,350,4,4,55000
41617468,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,400,3,3,80000
41996474,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,120,2,2,45000
43548835,"Saadi Town, Scheme 33, Karachi, Sindh",Lower Portion,For Rent,120,2,3,22000
43591315,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,189,3,3,58000
43824510,"DHA Phase 8, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,3,150000
44027664,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Lower Portion,For Rent,250,4,4,175000
44180969,"Saadi Town, Scheme 33, Karachi, Sindh",Lower Portion,For Rent,240,3,4,40000
44180975,"Saadi Town, Scheme 33, Karachi, Sindh",Lower Portion,For Rent,400,3,4,55000
44236729,"DHA Phase 8, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,4,225000
44312155,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,120,2,2,36000
44349773,"DHA Phase 6, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,3,100000
44484297,"Naya Nazimabad, Karachi, Sindh",Lower Portion,For Rent,240,2,2,65000
44484315,"PIA Housing Society, Faisal Cantonment, Cantt, Karachi, Sindh",Lower Portion,For Rent,400,4,4,100000
44504438,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,240,3,3,85000
44793912,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,4,200000
44797974,"DOHS Phase 2, Malir Cantonment, Cantt, Karachi, Sindh",Lower Portion,For Rent,500,4,5,130000
44837361,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,120,2,2,34000
44837385,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,For Rent,120,2,2,45000
44837902,"Federal B Area - Block 5, Federal B Area, Karachi, Sindh",Lower Portion,For Rent,500,-,-,145000
44840071,"DHA Phase 7, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,300,2,2,80000
41624224,"Gulshan-e-Iqbal Town, Karachi, Sindh",Room,For Rent,44,1,1,20000
44439980,"DHA Phase 2, DHA Defence, Karachi, Sindh",Room,For Rent,72,1,2,60000
44530360,"DHA Phase 6, DHA Defence, Karachi, Sindh",Room,For Rent,72,1,1,50000
41551313,"KDA Officers Society, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,240,3,3,140000
42229910,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,240,4,4,60000
42700734,"DOHS Phase 1, Malir Cantonment, Cantt, Karachi, Sindh",Upper Portion,For Rent,550,3,3,125000
42889100,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,250,3,3,72000
43166936,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,120,3,3,70000
43281296,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,400,4,4,95000
43381161,"Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",Upper Portion,For Rent,120,2,3,23000
43412998,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",Upper Portion,For Rent,450,3,3,75000
43632465,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,189,3,3,55000
43824609,"DHA Phase 4, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,500,3,3,135000
43835391,"Gulistan-e-Jauhar, Karachi, Sindh",Upper Portion,For Rent,170,3,3,50000
43890190,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,400,2,2,40000
43907972,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,120,2,2,45000
43964010,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,120,2,3,30000
43999079,"DHA Phase 8, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,500,3,4,170000
44210444,"DHA Phase 8, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,500,3,4,160000
44237676,"Shadman, North Nazimabad, Karachi, Sindh",Upper Portion,For Rent,200,2,2,45000
44484332,"PIA Housing Society, Faisal Cantonment, Cantt, Karachi, Sindh",Upper Portion,For Rent,400,4,4,100000
44506440,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Upper Portion,For Rent,150,3,3,70000
44576727,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Upper Portion,For Rent,100,2,2,60000
44607242,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,240,3,3,80000
44635153,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,250,-,-,125000
44639892,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,140,2,2,45000
44641564,"North Karachi - Sector 7-D1, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,2,2,19000
44736561,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,44,1,1,15000
44754401,"DHA Phase 4, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,1000,3,3,158000
44766734,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,111,2,2,30000
44837201,"North Karachi - Sector 9, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,2,3,29000
44837377,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Upper Portion,For Rent,240,3,2,52000
44837881,"Federal B Area - Block 12, Federal B Area, Karachi, Sindh",Upper Portion,For Rent,400,4,5,129000
44840409,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Upper Portion,For Rent,156,3,3,100000
44841166,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",Upper Portion,For Rent,200,3,3,58000
39808125,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Rent,356,3,4,190000
41651414,"DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,111,2,2,60000
43511657,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,144,3,3,90000
43726708,"Clifton, Karachi, Sindh",Flat,For Rent,133,3,3,160000
44111236,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,For Rent,128,2,2,100000
44120614,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,For Rent,244,3,4,76000
44136714,"Defence View Society, Karachi, Sindh",Flat,For Rent,189,3,4,75000
44200411,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,For Rent,167,3,3,160000
44302054,"Nazimabad 3, Nazimabad, Karachi, Sindh",Flat,For Rent,108,3,3,28000
44541563,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,111,2,2,60000
44740023,"Sehar Commercial Area, DHA Phase 7, DHA Defence, Karachi, Sindh",Flat,For Rent,100,2,2,42000
44774711,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Rent,243,3,4,180000
44807085,"Nishat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",Flat,For Rent,106,2,2,55000
44820970,"Clifton - Block 2, Clifton, Karachi, Sindh",Flat,For Rent,178,3,3,65000
44836839,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Rent,144,3,3,45000
44837087,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Flat,For Rent,161,3,3,65000
44837169,"Gulshan-e-Kaneez Fatima, Scheme 33, Karachi, Sindh",Flat,For Rent,72,2,2,20000
44837178,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",Flat,For Rent,83,2,2,18500
44837198,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",Flat,For Rent,83,2,2,18000
44837219,"Saima Arabian Villas, Gadap Town, Karachi, Sindh",Flat,For Rent,83,2,2,18000
43739997,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Rent,120,4,5,135000
43787564,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Rent,1000,6,6,900000
43913412,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,For Rent,500,5,6,225000
43976037,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,For Rent,1000,6,6,1000000
44199152,"DHA Phase 7, DHA Defence, Karachi, Sindh",House,For Rent,250,4,4,300000
44289458,"Saima Elite Villas, Malir, Karachi, Sindh",House,For Rent,120,2,2,40000
44331713,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Rent,300,4,4,229999
44536008,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,For Rent,1000,5,6,560000
44700348,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,For Rent,1000,6,6,1000000
44837249,"New Karachi - Sector 5-A/4, New Karachi - Sector 5-A, New Karachi, Karachi, Sindh",House,For Rent,80,4,3,34000
44836845,"Gulistan-e-Jauhar, Karachi, Sindh",Lower Portion,For Rent,400,3,-,78000
44837037,"DHA Phase 6, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,4,110000
44837082,"DHA Phase 6, DHA Defence, Karachi, Sindh",Lower Portion,For Rent,500,3,4,100000
44837162,"Abul Hassan Isphani Road, Karachi, Sindh",Lower Portion,For Rent,120,2,2,25000
44837266,"North Karachi - Sector 11B, North Karachi, Karachi, Sindh",Lower Portion,For Rent,240,3,3,55000
44530360,"DHA Phase 6, DHA Defence, Karachi, Sindh",Room,For Rent,72,1,1,50000
44001408,"Gulshan-e-Maymar - Sector S, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",Upper Portion,For Rent,600,3,3,75000
44454340,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,200,3,4,120000
44535751,"DHA Phase 8, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,500,3,4,150000
44728607,"DHA Phase 8, DHA Defence, Karachi, Sindh",Upper Portion,For Rent,500,3,4,170000
44740204,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,4,5,52000
44825043,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,2,3,32000
44825149,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",Upper Portion,For Rent,80,2,2,22000
44837150,"North Karachi - Sector 11-C/3, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,2,3,30000
44837183,"Gulshan-e-Kaneez Fatima - Block 2, Gulshan-e-Kaneez Fatima, Scheme 33, Karachi, Sindh",Upper Portion,For Rent,240,3,3,50000
44837201,"North Karachi - Sector 9, North Karachi, Karachi, Sindh",Upper Portion,For Rent,120,2,3,29000
